,기간,지역,어린이 교통사고 발생건수,어린이 교통사고 사망자수,어린이 교통사고 부상자수,어린이보호구역내 어린이 교통사고 발생건수,어린이보호구역내 어린이 교통사고 사망자수,어린이보호구역내 어린이 교통사고 부상자수,어린이 보행 사상자 사망자수,어린이 보행 사상자 부상자수
23,2018,강남구,86,1,118,5,-,5,-,33
25,2018,강동구,58,-,64,1,-,1,-,24
9,2018,강북구,42,-,52,0,-,-,-,15
16,2018,강서구,64,-,73,6,-,6,-,30
21,2018,관악구,35,-,37,3,-,3,-,25
5,2018,광진구,43,-,51,2,-,2,-,21
17,2018,구로구,63,-,77,9,-,9,-,23
18,2018,금천구,26,-,36,1,-,1,-,7
11,2018,노원구,73,-,87,2,-,2,-,29
10,2018,도봉구,34,-,38,5,-,5,-,18
6,2018,동대문구,42,-,46,0,-,-,-,18
20,2018,동작구,43,1,48,4,1,3,1,25
14,2018,마포구,45,-,50,2,-,2,-,21
13,2018,서대문구,32,-,36,0,-,-,-,13
22,2018,서초구,77,-,95,6,-,6,-,26
4,2018,성동구,28,-,31,2,-,2,-,15
8,2018,성북구,64,-,82,3,-,3,-,29
24,2018,송파구,110,-,126,1,-,1,-,41
15,2018,양천구,72,-,85,3,-,3,-,36
19,2018,영등포구,85,-,96,5,-,5,-,37
3,2018,용산구,34,-,39,0,-,-,-,12
12,2018,은평구,56,-,84,5,-,5,-,28
1,2018,종로구,28,-,33,6,-,6,-,8
2,2018,중구,23,-,25,0,-,-,-,4
7,2018,중랑구,68,-,79,6,-,6,-,34
